;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
34;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472
35;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344
36;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246
37;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135;1135
38;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035
39;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951
40;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843
41;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736
42;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599
43;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515
44;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409
45;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340
46;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269;269
47;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241
48;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221;221
49;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212
50;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166
51;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140
