;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
29;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213
30;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584;3584
31;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504;3504
32;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169;3169
33;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669;2669
34;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124;2124
35;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696;1696
36;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317;1317
37;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125
38;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
39;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869
40;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678;678
41;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536
42;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438;438
43;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380
44;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289
45;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266;266
46;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259
47;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255
48;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275;275
49;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314
50;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354
51;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410
52;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437
53;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493
54;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481
55;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507
56;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458
