;Taux reversion RG;Min reversion RG;Max reversion RG;Plafond ressources RG;Taux reversion ARRCO;Taux reversion AGIRC;Taux reversion FP;Taux reversion ind_pendants
2090;0.6;13547.48;30453.7;89913.32;0.6;0.6;0.5;0.5
2091;0.6;13791.34;30910.51;91711.59;0.6;0.6;0.5;0.5
2092;0.6;14039.58;31374.17;93545.82;0.6;0.6;0.5;0.5
2093;0.6;14292.29;31844.78;95416.74;0.6;0.6;0.5;0.5
2094;0.6;14549.56;32322.45;97325.07;0.6;0.6;0.5;0.5
2095;0.6;14811.45;32807.29;99271.57;0.6;0.6;0.5;0.5
2096;0.6;15078.05;33299.4;101257;0.6;0.6;0.5;0.5
2097;0.6;15349.46;33798.89;103282.14;0.6;0.6;0.5;0.5
2098;0.6;15625.75;34305.87;105347.79;0.6;0.6;0.5;0.5
2099;0.6;15907.01;34820.46;107454.74;0.6;0.6;0.5;0.5
2100;0.6;16193.34;35342.77;109603.84;0.6;0.6;0.5;0.5
