;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
38;425966;429857;434149;443407;445425;434525;411130;389783;380819;392841;389110;397627;421644;421471;421751;399955;410463;420703;430911;429341;433205;429617;427988;419710;413512;398144;399076;410092;415637;412990;418826;422831;439928;431326;426074;421971;424375;425575;433799;439735;444948;441872;440545;439445;438522;437725;437071;436586;436540;436443;436241;435917;435489;435006
39;425972;426119;430014;434309;443563;445588;434716;411367;390061;381119;393132;389415;397928;421920;421756;422044;400286;410788;421022;431225;429665;433533;429957;428338;420077;413894;398551;399489;410499;416045;413407;419244;423251;440337;431751;426510;422418;424826;426031;434253;440190;445404;442337;441017;439924;439007;438217;437569;437090;437049;436957;436761;436442;436020
40;437843;425876;426034;429932;434230;443479;445511;434667;411367;390104;381185;393188;389485;397993;421957;421802;422098;400381;410876;421103;431300;429750;433621;430058;428449;420207;414039;398723;399667;410670;416216;413588;419425;423434;440507;431938;426709;422628;425040;426250;434470;440407;445622;442564;441252;440166;439256;438472;437831;437358;437322;437236;437046;436732
41;438137;437518;425585;425754;429655;433956;443198;445237;434423;411175;389959;381064;393055;389367;397869;421803;421657;421962;400288;410775;420994;431184;429645;433519;429969;428371;420148;413997;398710;399659;410655;416201;413583;419420;423431;440489;431938;426723;422654;425069;426285;434502;440438;445654;442606;441302;440224;439321;438544;437910;437443;437413;437333;437149
42;443295;437618;437013;425117;425298;429202;433506;442741;444787;434006;410814;389649;380780;392758;389087;397582;421483;421347;421661;400034;410512;420723;430905;429378;433254;429719;428133;419931;413798;398542;399498;410485;416031;413425;419261;423274;440316;431785;426584;422528;424947;426169;434382;440318;445535;442498;441202;440133;439238;438468;437842;437382;437358;437284
43;437985;442588;436938;436348;424493;424686;428593;432900;442126;444180;433435;410305;389196;380356;392319;388666;397153;421016;420891;421215;399640;410107;420309;430482;428967;432846;429327;427753;419575;413462;398241;399204;410181;415726;413133;418968;422983;440006;431497;426312;422270;424694;425922;434130;440066;445283;442258;440972;439912;439025;438264;437646;437193;437176
44;423689;437094;441699;436078;435503;423692;423898;427808;432117;441333;443395;432689;409626;388578;379769;391715;388081;396560;420381;420267;420602;399083;409538;419729;429892;428391;432272;428771;427210;419058;412966;397783;398753;409719;415263;412683;418517;422534;439536;431051;425883;421857;424285;425520;433723;439658;444875;441863;440587;439537;438659;437907;437298;436853
45;427683;422671;436052;440660;435072;434515;422753;422974;426888;431200;440406;442478;431815;408826;387846;379072;391000;387387;395858;419633;419532;419879;398423;408865;419045;429198;427712;431596;428115;426569;418445;412377;397236;398214;409169;414712;412147;417980;422000;438980;430521;425373;421364;423797;425039;433237;439172;444389;441392;440127;439088;438221;437479;436879
46;424933;426477;421502;434858;439470;433920;433384;421678;421916;425836;430153;439349;441432;430818;407912;387007;378272;390182;386593;395056;418782;418697;419057;397671;408100;418269;428411;426943;430831;427372;425844;417751;411710;396615;397603;408546;414089;411541;417374;421397;438355;429925;424798;420808;423248;424498;432692;438627;443845;440864;439612;438586;437730;437000
47;422216;423587;425149;420215;433545;438163;432655;432143;420499;420756;424684;429007;438194;440291;429730;406914;386090;377398;389290;385728;394183;417858;417791;418167;396855;407272;417430;427561;426113;430007;426572;425063;417005;410992;395947;396946;407877;413421;410892;416726;420753;437688;429289;424186;420216;422664;423923;432114;438049;443270;440306;439068;438056;437212
