;TauxMalSP;TauxMalTot;TauxAGFF tranche 1;TauxAGFF tranche 2;TauxAssedic;TauxCSGSal;TauxCSGRet;SeuilExoCSG
2008;0;0.0075;0.008;0.009;0.024;0.0776;0.068;9437
2009;0;0.0075;0.008;0.009;0.024;0.0776;0.068;9637
2010;0;0.0075;0.008;0.009;0.024;0.0776;0.068;9837
2011;0;0.0075;0.008;0.009;0.024;0.0776;0.068;10014
2012;0;0.0075;0.008;0.009;0.024;0.0776;0.068;10194
2013;0;0.0075;0.008;0.009;0.024;0.0776;0.068;10378
2014;0;0.0075;0.008;0.009;0.024;0.0776;0.068;10565
2015;0;0.0075;0.008;0.009;0.024;0.0776;0.068;10755
2016;0;0.0075;0.008;0.009;0.024;0.0776;0.068;10948
2017;0;0.0075;0.008;0.009;0.024;0.0776;0.068;11145
2018;0;0.0075;0.008;0.009;0.024;0.0776;0.068;11346
2019;0;0.0075;0.008;0.009;0.024;0.0776;0.068;11550
2020;0;0.0075;0.008;0.009;0.024;0.0776;0.068;11758
2021;0;0.0075;0.008;0.009;0.024;0.0776;0.068;11970
2022;0;0.0075;0.008;0.009;0.024;0.0776;0.068;12185
2023;0;0.0075;0.008;0.009;0.024;0.0776;0.068;12405
2024;0;0.0075;0.008;0.009;0.024;0.0776;0.068;12628
2025;0;0.0075;0.008;0.009;0.024;0.0776;0.068;12855
2026;0;0.0075;0.008;0.009;0.024;0.0776;0.068;13087
2027;0;0.0075;0.008;0.009;0.024;0.0776;0.068;13322
2028;0;0.0075;0.008;0.009;0.024;0.0776;0.068;13562
2029;0;0.0075;0.008;0.009;0.024;0.0776;0.068;13806
2030;0;0.0075;0.008;0.009;0.024;0.0776;0.068;14055
2031;0;0.0075;0.008;0.009;0.024;0.0776;0.068;14308
2032;0;0.0075;0.008;0.009;0.024;0.0776;0.068;14565
2033;0;0.0075;0.008;0.009;0.024;0.0776;0.068;14827
2034;0;0.0075;0.008;0.009;0.024;0.0776;0.068;15094
2035;0;0.0075;0.008;0.009;0.024;0.0776;0.068;15366
2036;0;0.0075;0.008;0.009;0.024;0.0776;0.068;15642
2037;0;0.0075;0.008;0.009;0.024;0.0776;0.068;15924
2038;0;0.0075;0.008;0.009;0.024;0.0776;0.068;16211
2039;0;0.0075;0.008;0.009;0.024;0.0776;0.068;16502
2040;0;0.0075;0.008;0.009;0.024;0.0776;0.068;16799
2041;0;0.0075;0.008;0.009;0.024;0.0776;0.068;17102
2042;0;0.0075;0.008;0.009;0.024;0.0776;0.068;17410
2043;0;0.0075;0.008;0.009;0.024;0.0776;0.068;17723
2044;0;0.0075;0.008;0.009;0.024;0.0776;0.068;18042
2045;0;0.0075;0.008;0.009;0.024;0.0776;0.068;18367
2046;0;0.0075;0.008;0.009;0.024;0.0776;0.068;18697
2047;0;0.0075;0.008;0.009;0.024;0.0776;0.068;19034
2048;0;0.0075;0.008;0.009;0.024;0.0776;0.068;19377
2049;0;0.0075;0.008;0.009;0.024;0.0776;0.068;19725
2050;0;0.0075;0.008;0.009;0.024;0.0776;0.068;20080
2051;0;0.0075;0.008;0.009;0.024;0.0776;0.068;20442
2052;0;0.0075;0.008;0.009;0.024;0.0776;0.068;20810
