;BMAF ;Plafond ressources CF APJE (1 enfant);Plafond ressources CF APJE (2 enfants);Plafond ressources CF APJE (3 enfants);Plafond ressources CF APJE (4 enfants);Plafond ressources CF APJE (enfant suppl);Majoration plafond ressources CF et APJE;Plafond ressources ARS (1 enfant);Plafond ressources ARS (2 enfants);Plafond ressources ARS (3 enfants);Plafond ressources ARS (4 enfants);Plafond ressources ARS (enfant suppl)
2011;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2012;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2013;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2014;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2015;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2016;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2017;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2018;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2019;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2020;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2021;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2022;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2023;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2024;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2025;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2026;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2027;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2028;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2029;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2030;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2031;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2032;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2033;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2034;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2035;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2036;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2037;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2038;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2039;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2040;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2041;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2042;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2043;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2044;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2045;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2046;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2047;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2048;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2049;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2050;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2051;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2052;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2053;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2054;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2055;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2056;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2057;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2058;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2059;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2060;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2061;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2062;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2063;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
